Accompagne
idPlat,idSauce
962,78
413,998
783,239
121,901
191,51
656,238
635,576
68,739
915,998
568,735
411,150
556,948
670,78
782,130
761,492
622,498
555,180
348,859
342,576
605,447
467,543
68,284
935,150
382,209
681,964
458,626
440,714
82,696
111,385
76,868
258,471
315,30
589,30
878,338
808,90
783,30
467,48
616,253
674,996
235,871
186,265
467,475
617,238
402,784
449,103
618,644
738,252
910,788
679,998
520,193
232,706
702,157
72,693
152,157
336,868
668,265
472,941
661,239
472,998
362,242
579,819
705,78
214,119
491,483
655,86
95,283
457,406
244,109
443,239
635,194
57,192
156,126
213,985
953,739
910,224
878,693
830,338
457,338
381,126
383,693
961,81
449,735
698,531
158,784
402,46
915,758
922,309
930,403
772,49
679,81
801,868
656,964
705,386
249,96
169,947
391,386
167,109
102,126
952,217
396,194
95,283
383,739
158,586
841,810
539,586
584,217
362,583
77,86
972,81
330,309
975,868
878,356
568,985
600,49
900,788
606,483
922,34
77,126
391,739
138,964
786,822
432,956
486,130
236,838
413,455
235,331
786,410
790,356
639,30
785,583
961,838
342,12
618,996
336,366
392,810
627,319
625,267
240,54
679,54
987,483
600,553
674,34
579,956
38,442
249,126
382,541
295,920
391,964
486,956
79,24
597,92
342,239
815,871
87,24
695,541
190,564
457,385
472,489
992,706
107,324
556,130
503,489
87,918
691,956
579,193
451,527
682,103
786,34
491,626
903,386
692,420
738,24
633,531
213,103
186,46
87,30
702,583
384,572
74,12
616,626
841,126
89,996
738,706
37,977
675,13
409,968
77,528
244,355
223,706
672,13
167,947
236,871
900,192
608,403
809,947
797,977
382,92
604,871
289,947
360,475
665,956
695,492
521,784
422,386
702,918
625,792
772,601
776,265
158,977
726,192
633,735
102,838
674,173
972,739
604,86
145,13
152,109
205,230
853,868
555,193
923,788
972,224
50,985
232,498
449,48
26,920
59,119
604,209
674,109
608,968
705,284
337,998
342,48
761,331
702,792
655,284
827,948
856,267
828,385
882,564
919,968
520,173
668,948
661,498
987,586
972,103
459,947
670,238
785,998
761,659
