Caracterise
idMachine,idModele
1246,56
2312,91
385,14
901,53
1945,47
1579,56
89,6
813,3
110,59
1934,38
2016,31
1087,98
1444,7
748,85
1039,80
1767,78
692,35
1803,50
873,50
1091,33
2181,60
976,87
1341,24
1093,27
1626,73
1520,17
401,90
2336,96
1814,69
243,38
367,13
2119,81
2423,37
2047,91
2401,77
174,38
2339,61
685,40
1313,46
1713,24
655,20
349,68
1309,85
2342,14
603,29
1243,98
1790,78
621,88
200,32
75,5
2446,35
1008,3
395,16
45,23
825,100
2249,57
1984,79
122,7
443,48
2413,33
2222,42
40,40
1596,90
2271,7
213,97
2499,62
1794,87
426,35
547,69
817,90
1924,70
547,7
865,11
38,13
919,38
312,8
2235,21
2461,77
304,62
1851,48
766,99
913,95
945,35
286,21
2222,67
677,5
592,56
203,58
768,4
231,90
2033,16
34,81
1064,77
2431,42
2421,2
1384,11
1771,75
902,76
800,20
993,76
1291,10
1475,60
1604,13
1419,79
126,83
274,86
1061,34
197,21
414,78
897,16
4,40
1391,94
1746,31
1260,82
38,73
1670,35
351,78
1100,69
364,89
1187,62
1099,18
1248,78
2090,54
1048,47
587,78
672,82
906,39
1741,3
1067,22
1716,56
499,4
269,4
683,95
1392,94
2290,71
243,24
1605,76
1325,7
2389,30
1133,39
1122,88
1668,69
500,97
997,79
1680,9
1624,13
386,65
1970,69
2179,99
2408,98
1662,72
847,31
2328,79
2405,30
1808,54
1950,51
1363,62
350,46
1380,41
1533,33
1738,11
1719,97
420,99
2243,4
207,18
1951,62
132,8
2307,35
319,85
1060,100
340,55
2286,18
631,7
886,7
830,15
1120,22
1286,74
1935,40
1840,61
57,17
1555,54
2479,21
984,40
871,76
1997,50
1432,6
702,48
979,12
1660,33
1513,86
1417,98
940,95
1014,36
339,58
942,35
1345,79
1906,63
1743,48
2153,94
530,67
676,98
542,40
2287,78
1975,35
23,9
238,72
647,72
1361,64
84,12
831,18
2294,34
1216,24
1165,61
713,82
2383,52
452,75
1077,99
571,81
758,80
2287,51
1456,63
549,98
1171,30
1334,46
1943,19
2099,21
940,34
1048,24
864,26
1755,56
1828,49
263,1
1036,25
860,86
456,50
1814,56
2317,17
2286,21
138,64
387,66
953,61
1207,24
1506,36
640,7
2271,72
2050,27
1117,24
1032,12
415,3
1622,71
1537,27
2092,52
956,46
221,52
1765,61
2496,42
41,91
779,38
1693,90
504,76
841,4
325,52
631,65
347,10
1479,100
617,84
1358,84
1575,60
1832,84
2485,66
2350,91
2160,71
1542,89
758,87
808,38
1875,31
730,79
1061,46
1949,98
2445,4
933,39
2139,98
646,55
864,12
2060,81
1883,90
2039,31
2401,56
2375,35
309,60
2070,42
1357,50
1355,39
316,41
1150,33
7,6
977,31
2200,73
2268,70
2374,86
149,85
966,51
1671,34
484,44
882,43
1166,86
1118,95
1207,100
1441,62
1015,30
1208,6
831,98
283,84
2052,34
1428,38
1680,30
2493,49
995,50
2151,7
1893,52
2283,32
1289,6
1129,30
198,10
1776,1
303,18
403,84
621,24
1166,57
869,30
827,31
1707,100
799,87
1002,58
1633,17
1708,84
2329,78
621,53
594,54
495,68
2386,23
700,40
1799,36
2232,56
1602,15
1386,2
206,49
1862,88
1498,11
1526,6
1600,30
701,89
