Club
numero_1,nomClub,numero
999,RacletteBeurre,129
118,Divin,1169
1155,GoutuLegumeRaclette,27
898,QuicheDélicieuxSauce,7
873,QuicheDélicieux,1018
590,A se damnerBeurreTenders,632
987,SaumonSaucePoulet,696
749,AnanasDélicieuxPoulet,847
1046,AnanasAnanasPizza,521
551,Kebab,610
1199,GoutuKebabA se damner,489
1166,AnanasA se damnerDélicieux,613
318,GoutuPoulet,388
276,AnanasDélicieuxRaclette,1114
611,Délicieux,698
595,SaumonSaumon,331
596,Ananas,1054
646,Saumon,480
1097,TendersPouletQuiche,619
911,PouletA se damner,747
597,Sauce,336
107,Saumon,793
990,Divin,1096
845,LegumeDivin,817
558,KebabBeurreSauce,534
1110,QuicheDivinBeurre,682
336,TendersGoutu,609
637,Délicieux,603
725,SaumonSaumon,688
579,Délicieux,373
421,Divin,996
643,PizzaLegume,949
33,Poulet,736
1141,DélicieuxPizza,918
145,AnanasAnanas,615
694,DélicieuxTenders,311
20,DivinPizzaAnanas,593
1034,Goutu,663
111,SauceSaumonSaumon,618
338,DélicieuxRaclette,552
359,Pizza,89
66,SaumonGoutuDélicieux,273
730,Poulet,278
110,Divin,846
1059,TendersTenders,1108
184,PizzaPizzaLegume,1105
1149,PizzaPouletDivin,202
788,QuicheRacletteGoutu,283
615,RacletteDivin,90
283,A se damnerDélicieux,668
508,A se damnerSauce,458
199,SaumonPizzaA se damner,404
541,SaumonSaumonDélicieux,510
838,SaumonDélicieux,473
369,DivinRacletteTenders,290
1106,Pizza,163
1140,KebabDélicieuxAnanas,333
78,DivinTendersAnanas,533
436,Tenders,527
671,Tenders,526
209,GoutuRacletteSaumon,820
171,A se damnerPizzaSauce,1090
50,SauceSaumon,1088
8,BeurreSaucePizza,646
982,Poulet,802
203,A se damnerKebabRaclette,955
630,DivinLegume,909
565,QuicheSaumonPizza,185
224,PizzaBeurreQuiche,556
441,LegumeSaumonDivin,631
1191,KebabDélicieux,752
1174,PouletTenders,677
137,SaumonBeurre,893
518,SauceTendersDivin,412
309,Raclette,839
830,GoutuPoulet,369
435,KebabPouletPoulet,1045
