Compose
idRepas,idPlat
4899,966
2214,759
1059,459
2762,249
4200,674
3136,508
1843,839
3682,357
4841,761
1288,310
4282,681
2086,785
2669,910
2244,191
4409,776
4721,296
1949,525
2215,244
3124,946
3855,930
3906,472
3511,468
2767,839
4480,738
1344,422
1378,962
4623,503
3609,785
3888,505
4385,867
2002,702
3148,761
3070,33
267,244
1171,987
5000,681
2314,305
437,342
1312,992
1650,205
906,221
4620,64
2874,221
1230,66
4766,701
2459,258
2944,458
1259,878
279,600
4139,186
752,50
3506,921
4743,657
3178,362
4848,460
4060,839
3462,240
733,915
1582,691
747,584
4595,98
2754,240
4731,503
4931,63
2732,383
3416,747
3579,777
2609,244
5009,336
4946,657
86,235
1306,790
3115,244
1897,158
2800,577
4055,111
2468,478
4232,856
4696,568
823,178
4624,780
860,362
3123,468
1543,315
2007,357
4937,347
4999,186
432,966
3698,616
1675,853
5084,221
4961,472
3093,468
138,692
3039,896
1144,999
3021,888
4516,413
1529,186
1508,691
2137,747
4735,608
1805,59
3108,589
1684,383
5049,831
3563,289
316,962
3756,494
3058,156
204,468
2455,761
2783,622
1476,156
5041,491
1501,64
86,917
2807,856
3010,140
4913,589
2966,670
4663,190
2965,167
4939,260
922,64
4743,946
4328,771
4127,608
3288,210
3776,575
3442,938
4302,867
3128,360
177,66
2748,782
1291,815
2301,347
2482,622
28,467
4781,726
2157,231
1122,178
3544,554
4065,655
164,357
3976,98
4240,882
520,944
2522,759
1563,74
795,556
1021,952
4293,604
3698,613
384,923
841,384
4087,77
2442,608
156,691
100,38
2710,577
2076,579
2166,178
4883,944
4591,701
1723,95
793,782
563,650
640,478
1531,839
4223,494
1777,915
3066,930
4459,604
3186,992
180,87
632,961
224,221
2217,749
3808,494
3363,64
2633,801
2841,808
574,289
2181,220
3579,665
4460,449
3465,919
4055,381
3436,972
3706,916
2578,530
3116,76
1718,37
4814,300
1370,610
4809,665
5032,635
4251,554
627,987
2244,738
5029,665
580,111
438,220
4744,382
2335,668
4128,730
3536,486
582,953
3106,675
2510,38
4730,860
2634,853
4030,443
2246,568
4754,347
1905,809
3837,460
3600,682
3690,579
5062,831
3022,391
3879,975
2604,89
3646,411
674,938
4423,691
3607,938
4635,975
3255,182
2852,508
265,142
3568,296
1202,691
3538,715
70,66
4147,624
1855,661
507,679
3456,782
4416,962
1349,910
41,790
2388,76
2430,472
2704,59
4121,409
4588,610
711,675
2416,782
3984,72
3559,147
3417,205
1888,668
1918,617
4892,300
3367,691
4519,577
3794,828
4370,64
2759,337
3094,315
411,759
2271,456
1562,865
3085,337
2009,89
202,178
3330,459
1113,337
1559,827
2686,63
3782,579
628,186
4707,953
546,867
3653,260
1367,336
4583,22
4498,935
1258,472
2696,472
816,917
1596,780
2094,579
1704,952
3643,138
4256,269
2237,682
66,539
1436,413
3749,589
2681,315
3512,776
4333,618
2848,525
697,841
3448,535
3376,946
2467,592
4170,771
1039,635
4082,661
3599,581
2794,692
1846,413
3044,815
3026,521
637,191
1976,77
122,701
1155,38
913,77
3418,888
2891,169
2418,186
2901,878
64,342
2464,808
2411,589
2225,476
4424,186
3890,205
1589,555
3587,388
3550,530
964,856
2511,98
2042,623
817,777
2882,655
1294,910
1621,457
3533,597
526,330
1898,613
3477,555
894,627
3907,258
3459,169
2289,26
2645,190
425,677
2558,112
3668,235
2518,107
4314,592
3722,191
2681,26
1968,491
3350,89
4832,38
3913,459
4240,26
2812,783
4271,231
4575,315
896,608
4900,815
1100,167
1244,966
385,296
1805,493
580,235
3546,581
2136,592
3355,249
1676,156
4805,63
4045,121
1454,903
3849,342
1344,305
4614,330
3653,82
427,946
320,178
4387,910
4514,208
4595,381
4835,988
2785,381
4728,628
957,856
3936,494
800,922
1240,381
3587,478
5060,50
2076,604
5090,610
4880,938
93,468
4878,392
4323,64
1228,467
1908,987
4644,853
2381,992
