Constitue
idPlat,idAliment
961,6
468,885
79,760
679,100
258,908
628,658
391,463
900,162
639,951
22,414
396,21
661,141
878,113
975,509
82,120
451,212
269,378
617,113
602,658
785,463
759,162
828,826
972,176
961,56
625,983
535,215
900,272
921,908
205,9
607,775
992,716
456,203
72,298
231,826
657,115
962,170
147,981
491,160
118,6
617,981
627,250
223,654
315,891
260,368
622,804
2,363
388,895
782,760
600,630
37,630
121,488
828,185
220,135
730,359
171,463
486,271
579,800
63,56
627,405
258,510
910,981
205,902
171,15
107,753
38,800
95,16
413,716
944,250
992,902
460,684
190,902
361,858
530,760
687,218
944,110
491,368
961,477
944,912
396,501
726,363
628,390
944,42
896,463
896,716
169,983
972,317
258,120
674,769
112,481
210,570
602,912
841,694
467,734
74,885
121,170
107,363
860,62
535,566
221,477
520,215
882,290
944,401
460,271
300,212
815,414
910,908
780,734
342,176
535,104
37,304
348,430
145,245
799,317
182,414
705,630
249,62
384,552
381,488
790,912
14,185
946,405
726,615
808,883
921,567
953,723
178,883
508,816
786,769
691,567
347,652
771,760
695,933
205,500
505,552
790,848
221,570
169,891
357,56
698,35
460,895
240,658
915,477
361,654
231,341
491,62
975,339
361,62
402,570
613,212
799,973
383,807
182,104
853,510
579,567
665,848
289,363
853,829
357,401
726,113
930,563
98,141
14,800
347,642
692,45
938,160
783,212
917,883
50,816
93,245
635,113
674,21
223,6
554,363
478,56
809,135
74,113
777,229
656,113
347,510
828,684
14,212
618,524
186,820
692,908
793,405
530,21
853,570
681,250
232,481
451,716
916,630
597,304
348,775
392,56
221,176
776,630
668,365
240,630
607,684
975,654
672,753
657,666
76,885
525,36
240,62
539,883
38,567
801,666
142,666
841,104
783,615
459,365
520,967
360,62
460,768
656,524
111,434
57,58
691,39
102,365
910,967
361,684
797,500
828,170
118,317
655,829
258,804
944,570
152,135
432,768
171,757
999,734
999,507
962,684
186,912
220,250
147,908
715,477
946,120
402,328
111,826
575,104
809,378
799,273
422,883
972,185
656,298
839,197
617,488
776,820
