Entretien
idEntretient,periodeEntretient,typeEntretient,numero
0,2000-09-07,à l'eau,685
1,2026-02-28,à l'eau,1083
2,1991-07-26,à l'eau,1046
3,1990-10-24,mécanique,282
4,2010-03-22,dégraissant,109
5,2002-02-25,détergent,988
6,1977-08-03,dégraissant,1042
7,1979-06-11,à l'eau,1151
8,1988-08-27,mécanique,274
9,1975-11-27,désinfectant,363
10,2003-01-20,désinfectant,655
11,1973-04-15,mécanique,358
12,1995-06-29,à l'eau,569
13,1977-09-29,dégraissant,495
14,2019-06-09,à l'eau,437
15,2003-04-22,détergent,272
16,1993-08-11,désinfectant,200
17,2018-05-03,désinfectant,970
18,2022-10-17,détergent,205
19,2006-03-12,dégraissant,1172
20,1996-08-07,détergent,136
21,2006-09-13,mécanique,422
22,1970-01-27,mécanique,843
23,2002-01-11,à l'eau,383
24,2013-10-04,désinfectant,648
25,1992-03-26,détergent,161
26,2001-08-14,détergent,1158
27,1983-11-05,détergent,404
28,2008-09-22,à l'eau,937
29,2022-08-09,à l'eau,407
30,1976-04-01,détergent,1170
31,1980-08-07,à l'eau,1065
32,2019-10-06,à l'eau,23
33,2024-09-27,à l'eau,493
34,2017-02-06,désinfectant,772
35,1979-01-15,désinfectant,745
36,1986-08-14,mécanique,557
37,1989-09-29,dégraissant,1152
38,1980-02-25,dégraissant,747
39,2004-09-07,dégraissant,232
40,1973-02-25,désinfectant,1175
41,1994-12-31,dégraissant,1181
42,1972-07-13,détergent,153
43,1986-11-17,détergent,364
44,1975-12-21,mécanique,602
45,2006-10-07,dégraissant,913
46,2000-12-07,détergent,232
47,1996-10-19,à l'eau,1187
48,2013-09-26,à l'eau,315
49,1974-10-22,désinfectant,383
50,2009-01-31,détergent,644
51,1994-09-07,mécanique,1047
52,1995-08-11,désinfectant,771
53,1998-02-05,à l'eau,32
54,2019-09-05,mécanique,1153
55,2002-07-30,à l'eau,312
56,1973-10-22,détergent,539
57,1996-04-19,désinfectant,40
58,1976-03-08,dégraissant,263
59,2000-01-27,détergent,506
60,2022-02-10,désinfectant,361
61,1998-04-29,dégraissant,84
62,2007-06-12,dégraissant,509
63,1971-01-11,désinfectant,529
64,2017-04-14,mécanique,370
65,2006-02-04,à l'eau,494
66,1991-10-29,à l'eau,160
67,1973-01-15,dégraissant,1017
68,2020-04-25,à l'eau,873
69,2018-10-27,dégraissant,967
70,1970-09-13,mécanique,508
71,1984-06-09,mécanique,754
72,2003-06-20,détergent,912
73,1998-04-17,à l'eau,689
74,2012-05-11,mécanique,630
75,1982-12-23,à l'eau,433
76,1977-01-04,désinfectant,1066
77,2011-12-12,désinfectant,552
78,1972-04-10,à l'eau,1154
79,2004-12-11,détergent,573
80,1970-09-01,dégraissant,902
81,1990-08-01,dégraissant,210
82,1979-04-11,détergent,1013
83,2001-03-12,mécanique,47
84,1990-02-26,détergent,625
85,1974-01-24,mécanique,292
86,1994-06-06,mécanique,1032
87,2008-06-21,désinfectant,394
88,1990-12-05,dégraissant,256
89,1992-02-18,à l'eau,46
90,1983-05-21,dégraissant,329
91,1983-01-17,désinfectant,802
92,1971-04-01,mécanique,1068
93,1973-12-28,à l'eau,758
94,1973-02-11,désinfectant,955
95,1975-05-06,à l'eau,199
96,1977-07-24,à l'eau,159
97,1975-08-11,à l'eau,1002
98,2024-04-25,désinfectant,1189
99,2014-10-27,dégraissant,748
100,2009-03-27,désinfectant,709
101,2016-09-15,dégraissant,1073
102,2009-12-31,désinfectant,57
103,2010-05-05,dégraissant,7
104,2025-01-09,détergent,949
105,2001-01-23,dégraissant,362
106,1995-12-02,désinfectant,1026
107,2003-11-01,désinfectant,811
108,2022-02-02,dégraissant,363
109,2016-10-02,dégraissant,210
110,1972-04-09,mécanique,139
111,2023-05-23,dégraissant,749
112,2023-09-13,dégraissant,664
113,1984-03-13,désinfectant,702
114,2008-12-26,dégraissant,443
115,1972-12-13,dégraissant,827
116,1984-03-24,mécanique,411
117,1980-03-22,mécanique,583
118,2008-09-02,détergent,983
119,1992-12-09,à l'eau,1069
120,2001-06-18,dégraissant,626
121,1970-04-16,à l'eau,568
122,1988-12-20,détergent,371
123,1971-10-09,à l'eau,369
124,1999-11-20,mécanique,761
125,1975-01-19,dégraissant,181
126,1979-08-04,mécanique,205
127,1978-01-04,détergent,1083
128,1978-12-28,détergent,759
129,1970-04-22,dégraissant,1133
130,2004-09-08,mécanique,424
131,2013-06-18,mécanique,1174
132,1986-08-25,désinfectant,803
133,1970-04-09,à l'eau,1045
134,2018-11-04,mécanique,795
135,1995-03-10,détergent,709
136,1987-08-12,désinfectant,21
137,2024-10-27,mécanique,82
138,2023-07-06,détergent,528
139,2004-12-21,mécanique,712
140,1970-03-18,détergent,1090
141,1975-01-29,désinfectant,390
142,1997-08-18,mécanique,85
143,1982-07-04,à l'eau,40
144,1980-06-01,à l'eau,985
145,2016-12-15,détergent,238
146,1977-11-02,mécanique,602
147,1989-04-16,dégraissant,832
148,1971-01-03,détergent,54
149,1976-10-01,à l'eau,903
150,1974-05-22,à l'eau,737
151,1986-08-19,détergent,125
152,2019-11-11,dégraissant,625
153,2025-08-18,désinfectant,1139
154,2003-09-11,désinfectant,941
155,1983-06-21,détergent,331
156,2011-04-09,dégraissant,719
157,1979-10-21,mécanique,1106
158,2020-09-25,détergent,1066
159,1972-02-02,dégraissant,888
160,1994-01-05,détergent,450
161,2023-08-20,dégraissant,754
162,1981-12-27,mécanique,563
163,1975-03-02,à l'eau,580
164,1989-10-19,dégraissant,298
165,2018-11-02,désinfectant,1022
166,2022-09-20,mécanique,860
167,2005-06-05,mécanique,1131
168,2009-01-31,à l'eau,546
169,1982-06-14,dégraissant,1010
170,2012-04-29,détergent,520
171,2016-01-14,mécanique,976
172,2008-03-24,dégraissant,1141
173,1974-06-26,détergent,589
174,1999-03-20,détergent,1156
175,1999-03-10,détergent,1078
176,1999-12-14,désinfectant,996
177,2015-03-12,mécanique,395
178,2001-03-24,à l'eau,134
179,2005-08-03,détergent,1077
180,1994-10-13,désinfectant,609
181,1973-07-29,désinfectant,655
182,1997-02-28,à l'eau,72
183,1993-04-22,à l'eau,304
184,2001-07-16,dégraissant,1135
185,1972-08-29,à l'eau,140
186,2019-06-17,dégraissant,462
187,1999-09-07,détergent,809
188,2013-01-07,dégraissant,245
189,2011-03-28,mécanique,742
190,1997-01-01,désinfectant,784
191,1987-02-09,à l'eau,847
192,2025-06-19,mécanique,381
193,1981-08-31,mécanique,637
194,1990-05-09,mécanique,809
195,1980-12-02,mécanique,668
196,1990-11-29,désinfectant,568
197,1988-05-16,mécanique,71
198,1982-04-20,détergent,990
199,1988-07-06,mécanique,728
200,2010-12-21,mécanique,411
201,1991-12-28,dégraissant,733
202,2012-02-27,à l'eau,104
203,1970-12-09,dégraissant,195
204,1978-09-16,désinfectant,1079
205,1991-04-17,à l'eau,951
206,1978-07-12,dégraissant,867
207,1981-11-05,dégraissant,850
208,1998-11-04,à l'eau,43
209,2013-12-12,dégraissant,242
210,1994-05-16,à l'eau,78
211,2000-01-26,à l'eau,850
