Intolerance
numero,refOrganisme,codeMembre,idLegume
42,18001,28013,646
49,4939,58154,880
71,37980,25162,125
10,31173,44535,974
29,13175,29263,466
23,48732,52563,144
76,38272,32737,346
63,26419,15802,742
90,20420,43053,207
39,25766,63652,369
45,16142,40877,574
60,45022,91657,546
93,37723,21589,547
51,35734,95756,207
77,4098,84830,257
93,32989,87582,711
31,27821,33420,144
20,20772,49095,899
44,289,11132,255
22,41259,93094,344
13,13205,81698,789
17,34787,80359,899
10,44240,89175,206
3,49657,74968,149
7,13587,56056,187
8,8934,96721,373
61,17826,97988,466
21,40773,92566,764
43,26176,79898,301
23,34497,78419,765
96,243,40669,844
2,7184,83611,327
1,45712,59802,591
15,10247,35278,717
8,40505,69571,517
52,21377,12758,778
16,31389,73967,187
60,25954,31687,279
36,38761,71104,869
93,38247,22672,172
8,28221,61371,344
83,39443,33366,736
96,17311,45459,646
14,31984,88155,5
92,31761,69394,942
43,35926,78434,913
2,3245,29102,207
38,19495,44823,540
32,23144,24424,997
86,4902,72597,227
85,15635,27920,717
45,30756,64890,370
24,29949,68557,842
59,26427,99136,301
83,9976,52789,869
5,13596,18856,717
98,38751,54712,159
42,46456,61374,811
87,13154,68694,436
35,27314,43281,43
63,21023,40785,752
7,45976,89057,770
96,22476,90997,352
20,4678,60129,427
61,25320,72946,43
16,6944,90254,375
31,20000,37793,344
59,8389,54900,755
12,21695,41435,880
58,34275,63185,755
81,46138,64709,373
96,42482,50466,323
37,45928,16432,196
75,8776,83865,123
80,37738,86161,855
69,30225,41376,869
47,16382,82455,909
75,25401,76675,144
54,5067,89821,161
78,11125,74400,137
51,26889,90634,789
10,16265,40022,752
32,15310,79238,755
36,11888,36366,225
9,37227,69095,591
45,33724,46918,547
28,17443,15299,899
100,25859,19071,984
50,30714,42203,844
73,39593,80434,765
34,25086,28694,756
24,18667,15853,950
43,38817,15980,773
81,14780,36663,765
69,5843,63572,611
38,23176,74774,316
52,47811,60463,736
56,48274,53749,837
97,15588,55626,373
20,29534,51561,255
86,30071,90708,690
58,3789,20145,648
60,29977,29949,995
21,32499,36872,332
69,25050,14804,404
94,4759,48423,717
74,19244,31897,246
100,33581,85345,299
98,16504,53199,419
40,49771,70480,588
59,40885,87499,404
6,23089,38532,925
50,13767,61871,198
66,46084,49538,281
68,23040,69426,811
72,5193,36515,611
72,887,77180,125
32,30194,83285,376
64,35757,75719,540
4,11486,82024,207
98,46484,25022,844
34,22682,57175,436
52,13142,38730,246
53,12747,35316,187
48,41484,82449,704
3,2562,41714,436
3,18486,52757,720
75,11544,96066,206
41,46654,59427,139
9,42269,45684,843
10,29758,69166,720
59,48146,46540,843
47,8128,88926,227
29,36734,13422,344
89,31163,17166,854
50,15311,69626,811
20,18553,66399,764
76,11646,88702,316
69,28353,41077,149
36,9023,76312,436
97,44182,37888,591
92,6027,48417,863
45,17821,71103,736
70,18654,48539,246
28,31615,25881,811
76,37230,50331,5
43,14607,74679,344
7,17890,50520,352
45,12012,82960,765
67,31748,51630,880
83,20025,77149,736
49,6855,48643,690
14,43186,54415,517
78,7277,86087,161
21,42503,22088,899
76,14027,38477,637
92,7607,23819,519
100,25227,23551,899
79,6838,43430,880
4,39499,23484,897
70,27934,77100,717
100,1641,70569,198
100,45498,61344,257
74,24785,67080,125
43,49711,78044,591
31,24042,39123,869
95,7528,80151,415
41,42708,61960,540
46,1388,72449,301
6,1826,28044,159
44,1063,85427,974
36,6789,48715,773
30,18144,12695,842
33,21104,31274,172
40,30371,67640,571
9,4375,32461,466
16,31867,44811,872
63,14819,48344,611
62,46117,40538,424
74,43255,14955,246
97,26136,67601,637
61,22436,74263,139
78,35617,76364,512
51,17232,96759,770
60,9467,18076,137
77,28051,83488,397
50,16087,14315,756
68,49833,91441,226
81,27715,16704,473
97,18273,39526,540
59,11827,23963,588
26,3441,27483,227
89,36599,47110,720
5,41465,90488,279
67,1548,78108,909
64,12533,39223,172
25,10999,34626,942
16,18965,66456,473
89,24127,47357,375
59,12541,20014,20
86,11924,64692,720
49,34505,18444,346
71,7227,57646,899
17,8281,71359,149
65,8675,37013,512
84,39563,80636,540
53,38171,33342,369
50,3259,93459,909
37,8675,54157,717
1,18236,56030,877
26,9787,24385,863
81,43089,93279,778
52,37899,82460,125
75,39139,63653,427
75,45871,48616,632
98,14629,87823,123
10,11969,15048,680
86,25768,54718,811
70,21563,20995,227
48,44235,53791,978
33,37683,52786,161
25,30487,87513,301
8,20366,33557,436
46,18873,85897,546
60,40335,12116,637
83,10127,95175,207
27,2546,31822,206
9,7699,40898,346
93,43417,71923,373
47,14934,61286,752
76,2299,38851,690
59,9550,53147,728
100,31724,80450,352
83,29420,35949,884
60,16900,37757,439
94,12757,69626,439
28,45996,22750,884
48,49154,50987,587
2,29108,65179,473
64,40340,58096,370
94,37990,84914,690
18,2871,80288,778
84,14512,98554,736
8,31370,60274,571
27,14752,50451,837
38,25711,86582,436
27,37647,19522,942
48,11743,63322,196
24,48430,46325,880
13,38666,34817,690
24,44084,54159,469
96,21144,20681,469
60,22941,84351,281
77,16368,79847,125
74,14475,66488,189
74,4438,83762,419
5,26655,65273,19
58,19617,75797,720
10,49661,45815,637
25,37975,39265,773
66,17443,33772,632
11,45360,96963,415
60,10616,34790,711
12,49860,54399,877
16,39195,58601,764
50,594,29426,397
2,12241,63754,352
86,37980,28205,587
14,28628,76903,872
12,47470,82473,854
93,34624,33767,469
31,46286,76121,43
74,2806,23054,773
96,19964,20446,843
35,5033,50935,469
56,31551,25668,845
11,31529,44711,227
9,10473,23065,206
2,67,96082,984
41,13123,25099,473
61,33383,78377,123
5,18830,48108,206
57,15356,77650,842
52,49868,90914,346
59,30404,23152,546
72,27629,28997,301
33,10915,48743,159
6,16613,47802,116
36,24905,87757,346
34,45038,80295,257
41,32431,16881,974
81,13059,44122,942
65,10915,11397,648
92,44580,28065,469
46,36843,74877,877
61,86,28635,352
52,4856,73676,728
78,21307,31233,436
66,23481,20895,137
53,3790,99626,845
84,10797,71046,756
91,19035,22663,517
20,7889,95569,517
99,41792,11267,909
70,29856,94540,125
70,43288,52025,756
48,45554,26413,369
45,43512,74389,845
30,25589,73199,373
78,37289,15020,950
5,14948,40244,159
79,39122,38494,397
78,10398,48988,519
11,12044,21668,877
90,25287,54810,415
83,11960,76101,286
99,19196,42465,371
15,39243,34393,636
80,705,99903,20
40,44854,73730,424
33,42805,31306,755
80,5076,74646,376
43,80,41863,370
76,33769,60165,207
29,10383,70022,913
7,9539,27499,5
5,26189,79965,227
19,36266,74173,591
56,29489,59583,225
32,40935,46443,611
81,7198,11647,198
58,21722,58822,636
80,29248,68681,736
84,40857,64132,648
74,10402,56014,436
16,15460,36759,286
44,10286,55469,742
47,3087,56100,517
15,9885,29668,950
38,48958,24851,789
47,43045,38891,884
26,12312,84582,207
54,12177,72458,227
70,49180,14349,854
86,23634,31990,571
46,3479,99966,897
7,45795,44528,950
