Legume
idLegume,nomLegume
277,Melon
220,Tomate
654,Ail
994,Tomate
660,Carotte
731,Topinambour
202,Maïs
211,Maïs
248,Oignon
226,Ail
359,Pomme de terre
699,Pomme de terre
905,Oignon
568,Radis
494,Maïs
788,Maïs
39,Melon
635,Ail
368,Chou Rouge
522,Brocoli
866,Melon
958,Maïs
946,Melon
475,Pomme de terre
449,Carotte
169,Topinambour
888,Chou Rouge
378,Carotte
288,Oignon
257,Ail
305,Topinambour
142,Pomme de terre
990,Radis
832,Carotte
585,Maïs
22,Chou Rouge
330,Melon
896,Tomate
148,Ail
583,Oignon
201,Pomme de terre
121,Ail
139,Maïs
395,Topinambour
920,Melon
53,Epinard
501,Tomate
223,Chou Rouge
868,Melon
355,Tomate
118,Ail
32,Tomate
785,Maïs
322,Ail
819,Ail
278,Brocoli
774,Ail
559,Radis
57,Maïs
31,Topinambour
206,Brocoli
29,Brocoli
353,Brocoli
336,Radis
722,Radis
446,Chou Rouge
897,Oignon
238,Chou Rouge
112,Brocoli
5,Chou Rouge
346,Oignon
465,Oignon
448,Radis
385,Ail
719,Tomate
962,Ail
924,Pomme de terre
161,Carotte
754,Tomate
594,Topinambour
197,Tomate
555,Melon
847,Pomme de terre
982,Chou Rouge
743,Radis
612,Topinambour
792,Ail
853,Brocoli
95,Chou Rouge
633,Carotte
981,Pomme de terre
428,Maïs
289,Ail
814,Radis
227,Epinard
874,Ail
928,Maïs
458,Melon
250,Epinard
944,Maïs
452,Melon
650,Maïs
216,Carotte
156,Melon
515,Radis
573,Maïs
823,Brocoli
347,Radis
363,Ail
900,Ail
837,Ail
611,Carotte
514,Chou Rouge
992,Chou Rouge
678,Maïs
620,Melon
204,Ail
240,Maïs
177,Melon
952,Pomme de terre
851,Radis
807,Tomate
577,Carotte
860,Maïs
863,Ail
