Machine
idMachine,nomMachine
0,multifonction
1,multifonction
2,individuelle
3,combinée
4,multifonction
5,pierrade-fondue
6,familiale
7,traditionnelle
8,mini raclette
9,pierrade-fondue
10,electrique
11,familiale
12,bon marché
13,electrique
14,traditionnelle
15,de table
16,pierrade-fondue
17,bon marché
18,individuelle
19,de table
20,mini raclette
21,bon marché
22,combinée
23,mini raclette
24,bon marché
25,pierrade-fondue
26,individuelle
27,pierrade-fondue
28,de table
29,familiale
30,de table
31,electrique
32,pierrade-fondue
33,individuelle
34,de table
35,combinée
36,bon marché
37,bon marché
38,multifonction
39,pierrade-fondue
40,pierrade-fondue
41,pierrade-fondue
42,traditionnelle
43,combinée
44,combinée
45,familiale
46,familiale
47,traditionnelle
48,combinée
49,electrique
50,pierrade-fondue
51,individuelle
52,individuelle
53,multifonction
54,mini raclette
55,individuelle
56,combinée
57,individuelle
58,combinée
59,bon marché
60,familiale
61,de table
62,individuelle
63,familiale
64,familiale
65,pierrade-fondue
66,pierrade-fondue
67,mini raclette
68,de table
69,traditionnelle
70,individuelle
71,individuelle
72,bon marché
73,bon marché
74,familiale
75,pierrade-fondue
76,mini raclette
77,bon marché
78,familiale
79,electrique
80,de table
81,bon marché
82,traditionnelle
83,individuelle
84,mini raclette
85,electrique
86,mini raclette
87,mini raclette
88,mini raclette
89,de table
90,bon marché
91,combinée
92,combinée
93,de table
94,de table
95,de table
96,electrique
97,multifonction
98,combinée
99,electrique
100,de table
101,multifonction
102,combinée
103,traditionnelle
104,multifonction
105,multifonction
106,electrique
107,traditionnelle
108,traditionnelle
109,bon marché
110,individuelle
111,electrique
112,multifonction
113,familiale
114,mini raclette
115,mini raclette
116,familiale
117,familiale
118,individuelle
119,electrique
120,electrique
121,individuelle
122,bon marché
123,mini raclette
124,de table
125,de table
126,bon marché
127,combinée
128,multifonction
129,mini raclette
130,individuelle
131,combinée
132,pierrade-fondue
133,electrique
134,familiale
135,electrique
136,individuelle
137,multifonction
138,traditionnelle
139,pierrade-fondue
140,mini raclette
141,traditionnelle
142,bon marché
143,combinée
144,electrique
145,bon marché
146,pierrade-fondue
147,electrique
148,familiale
149,multifonction
150,combinée
151,combinée
152,pierrade-fondue
153,de table
154,bon marché
155,individuelle
156,combinée
157,familiale
158,combinée
159,bon marché
160,bon marché
161,combinée
162,bon marché
163,combinée
164,electrique
165,electrique
166,combinée
167,pierrade-fondue
168,bon marché
169,pierrade-fondue
170,familiale
171,de table
172,mini raclette
173,individuelle
174,de table
175,electrique
176,pierrade-fondue
177,bon marché
178,multifonction
179,de table
180,de table
181,de table
182,traditionnelle
183,pierrade-fondue
184,familiale
185,electrique
186,bon marché
187,mini raclette
188,bon marché
189,electrique
190,de table
191,combinée
192,mini raclette
193,electrique
194,familiale
195,mini raclette
196,traditionnelle
197,electrique
198,de table
199,familiale
200,pierrade-fondue
201,individuelle
202,traditionnelle
203,multifonction
204,combinée
205,pierrade-fondue
206,familiale
207,electrique
208,de table
209,bon marché
210,mini raclette
211,bon marché
212,bon marché
213,individuelle
214,bon marché
215,familiale
216,multifonction
217,pierrade-fondue
218,familiale
219,traditionnelle
220,multifonction
221,electrique
222,mini raclette
223,de table
224,bon marché
225,bon marché
226,mini raclette
227,de table
228,electrique
229,pierrade-fondue
230,electrique
231,individuelle
232,multifonction
233,familiale
234,de table
235,combinée
236,individuelle
237,combinée
238,mini raclette
239,pierrade-fondue
240,combinée
241,individuelle
242,pierrade-fondue
243,pierrade-fondue
244,pierrade-fondue
245,familiale
246,traditionnelle
247,de table
248,familiale
249,traditionnelle
