Mange
date_,idReunion,idRepas
2019-12-05,2064,5074
1999-04-07,1023,2446
1990-07-29,523,1137
1971-10-17,563,2784
2002-08-29,720,4847
1972-05-28,125,1169
1992-05-27,115,4224
1972-06-09,1712,146
2025-06-28,842,284
1978-12-14,384,769
2021-12-10,1482,2108
2022-08-07,1110,2857
1994-09-15,1940,3224
1996-09-06,1671,3168
2010-04-15,83,3817
1982-08-16,1721,14
1976-12-25,1888,3107
2018-04-08,1979,469
2000-10-28,1562,4409
1986-08-14,501,631
1976-07-12,1985,105
1983-03-27,284,1874
1974-05-17,14,177
1990-02-21,1388,484
1979-02-12,842,569
2002-02-09,791,4
2004-07-31,1585,3410
2008-12-07,439,4585
2008-08-28,1484,2502
2003-04-30,442,315
1986-04-19,494,1750
1995-09-09,1173,4590
2021-12-13,612,4237
2023-10-21,1661,2284
1983-12-08,1985,4396
1995-02-26,547,2239
2026-01-25,1309,677
1970-10-22,1332,2872
1976-04-08,652,3413
2014-11-25,558,519
2008-12-07,1687,4787
2011-11-25,1062,4863
1997-07-18,1113,318
1980-08-09,1481,3974
2013-09-14,795,3980
1988-10-06,1728,624
2000-09-27,1292,4970
2006-08-31,732,585
1996-10-31,234,2968
1993-02-24,240,4183
1981-02-11,1611,3316
1980-09-13,585,4860
2003-08-09,922,1965
1993-08-24,1177,3388
1980-06-15,2093,3696
2000-09-02,1989,900
1993-03-26,817,2134
1993-08-07,893,2190
1991-03-06,243,2067
2001-02-24,881,2925
1988-07-05,796,3105
2007-04-09,748,175
1984-05-31,938,2360
1975-06-05,520,1981
1971-08-01,1367,2519
2007-09-08,1073,171
1985-03-27,1250,2389
1986-06-14,622,1318
1973-06-09,390,3157
2018-10-16,1793,3720
2007-01-30,406,545
2003-02-18,19,4308
2010-06-21,1281,4234
2024-11-12,815,2552
1984-06-05,1311,3926
1973-06-25,1409,1581
1992-01-19,1412,2557
2000-10-10,1097,1815
2002-05-27,250,2986
2013-01-03,1557,2993
1970-08-16,144,4634
2001-02-04,1444,4584
2019-02-22,1647,1092
1982-02-11,1144,4737
2002-05-27,235,2809
2011-08-17,2018,5015
2010-10-20,813,1798
2023-05-02,567,2046
2026-03-20,158,772
1983-12-30,737,3506
2000-02-29,877,976
1971-07-24,691,3691
1995-12-04,1474,4351
1996-09-06,1066,2574
2009-11-26,697,3264
2006-05-30,370,234
1991-08-02,1251,176
2004-06-26,227,3110
1999-06-26,1808,4344
1985-03-27,1212,404
2021-10-06,101,4814
1996-05-04,1987,3139
2013-03-11,792,4194
1976-05-05,1407,802
2019-03-06,1673,413
2009-11-26,307,224
2016-12-26,674,1948
1973-11-13,488,285
1984-02-29,796,4186
2017-06-12,1534,4879
1993-08-24,462,2640
2026-03-20,950,1742
2015-02-21,1744,2745
1985-08-11,778,1241
2002-01-27,1210,2632
2013-08-12,367,1537
2003-12-16,130,1152
2003-12-04,181,4384
1975-09-11,2036,1287
2002-12-02,1547,586
2004-12-15,1685,86
2017-09-09,1951,3226
1980-08-13,1548,725
2025-06-28,1696,4062
1993-01-20,854,314
1995-01-03,1445,2409
1982-02-11,1241,3919
2004-12-15,1119,3494
2017-08-26,486,4000
2020-06-10,1891,2405
1977-08-27,1039,4096
1982-02-17,468,3661
2022-10-08,1628,868
2012-12-27,1405,262
1996-05-04,810,4067
1982-02-13,348,4704
2009-12-29,1733,2550
1996-03-08,574,4623
2019-01-07,1216,261
2018-06-05,503,4634
1971-08-01,1597,4590
2003-04-30,525,3394
1997-07-18,13,2778
2011-08-17,1433,3203
1977-08-04,722,2760
2022-11-06,1434,3432
1992-09-16,62,3194
1970-05-24,1313,4028
1981-10-27,984,3865
2011-01-23,729,2934
2025-10-15,676,3649
1973-11-22,460,3394
1995-08-30,992,2854
1996-09-06,1838,2683
1984-01-06,1541,4878
2000-04-05,2078,837
2024-05-12,1776,2544
2007-04-17,1337,2462
1984-12-16,406,3568
1989-04-01,743,1819
1979-11-01,1991,770
2007-01-30,1731,4872
2006-10-20,1721,39
1985-10-25,781,2404
1981-10-27,379,268
2018-08-19,1122,5019
2025-12-03,1496,3074
1981-10-13,1099,4601
1996-09-22,1921,3947
2017-11-15,1254,404
2013-03-11,1228,1195
2005-02-13,698,4504
2019-12-05,1804,3591
2003-03-31,1849,3266
2015-06-04,1303,738
1981-11-30,534,165
1973-03-30,724,329
2001-11-18,1109,1834
1996-07-14,421,3260
1986-04-19,556,3627
2015-02-08,1208,2528
1991-04-19,1914,4032
2021-06-03,1979,1513
1982-02-16,1284,1078
2014-02-13,1781,1514
2003-01-28,1226,3281
2005-02-17,1354,504
1981-11-30,1268,916
1984-03-06,136,2716
2000-08-14,1203,102
2019-07-22,607,4479
2004-02-05,1450,759
1991-08-02,663,4901
1978-08-07,980,467
1982-02-16,1195,3323
1970-05-24,1469,1449
1971-10-28,576,3010
2011-10-02,598,4641
2003-08-09,288,3669
1993-04-22,1161,455
2025-10-09,1654,2813
2016-10-29,1229,2729
1993-08-24,87,2386
1983-02-01,404,3952
2002-08-29,1131,3001
2006-05-30,1647,4470
1976-12-25,177,248
1971-04-12,1504,3295
2006-08-31,338,1266
1979-05-21,323,870
2015-02-08,1710,418
1985-03-27,401,662
2004-06-26,521,4091
2000-06-25,2066,3827
1994-08-14,231,286
2016-10-20,162,4446
1996-05-10,1570,2578
2016-10-26,1081,4721
2017-10-25,934,859
2017-11-15,1386,2927
2011-08-17,351,2081
1993-11-21,628,4066
1996-09-22,1614,1880
1986-03-10,38,3072
1997-07-19,1037,4051
2019-01-20,1282,2812
2004-12-15,1712,3958
1977-11-23,258,321
1976-10-24,511,2183
1999-06-09,1712,4081
2025-10-09,694,5066
2010-10-20,1729,4979
2009-12-21,2072,400
1998-12-21,1206,728
1971-08-01,1502,1435
2015-02-21,1032,2592
2000-06-25,893,1239
1991-04-16,1236,1384
2016-09-10,1276,2207
2021-01-17,1507,1954
1996-02-11,1268,3069
2017-04-17,1490,4246
1971-08-01,2100,624
2022-02-21,136,488
1973-01-15,562,2818
1988-11-17,695,696
2023-10-21,1986,4764
1973-03-30,2034,3832
2018-07-04,484,2708
1974-05-17,1320,4567
1973-05-01,1772,1593
1995-01-03,1156,3687
1990-10-05,871,4132
2002-02-21,1594,114
1986-06-19,76,1939
2024-03-04,1833,4917
1993-04-22,1747,2080
1990-02-02,1914,1077
2012-12-27,1388,3515
1978-12-14,2090,2756
2018-03-18,876,2218
2000-08-16,643,3605
1983-09-11,1583,3674
1988-01-01,216,4841
2002-01-27,1293,2203
2002-03-03,46,1768
1983-12-08,1942,1092
2014-06-21,227,4034
1984-05-31,1758,2514
2023-10-21,1560,2006
2001-11-18,248,3203
1994-09-26,1263,1149
1990-12-22,995,1926
1979-08-20,45,3677
2018-10-06,1967,623
1983-09-11,591,1662
1994-09-15,1365,3862
2003-03-25,159,2719
2023-05-02,1068,3658
2020-06-10,1315,3926
2015-02-08,323,790
2006-12-22,1448,4579
2012-06-11,384,1580
1975-01-26,162,2642
1979-05-21,255,1002
1991-03-15,1656,3597
1971-03-11,871,3280
2018-03-18,553,3541
1997-04-30,560,895
2009-10-13,1759,498
2026-01-25,324,4455
1977-03-15,1966,4999
1991-04-16,1267,4663
1988-07-04,1274,2660
1983-09-11,785,2897
1988-11-17,990,3299
1978-03-20,483,1595
1996-03-08,1058,977
2001-11-18,711,4111
2014-09-09,2068,235
1990-06-27,1487,2119
1983-01-09,1444,1004
1982-08-28,1379,424
2010-06-21,409,3282
1996-10-31,1049,3826
2018-04-08,1344,154
2014-02-13,602,1329
2016-10-20,1671,1129
2016-10-26,1060,4570
2019-10-17,1992,1182
1988-11-17,1963,3027
2012-06-11,675,1085
2008-12-07,117,2108
2016-10-29,216,3980
2002-03-03,1315,4624
1999-06-07,2071,2995
1988-04-28,1289,1514
1975-06-05,1956,3950
1985-10-16,1035,3338
2003-08-09,235,706
1980-09-13,1565,3412
1980-09-13,846,155
1971-08-01,645,3339
2008-12-11,486,1166
2011-01-23,1094,4001
1992-01-19,1747,4844
2016-09-10,367,3894
2000-04-05,1295,3118
1995-01-03,291,1905
1987-07-29,581,3125
1999-06-09,1302,1564
1986-06-19,1275,5090
1984-05-31,97,3055
1990-05-25,966,249
1989-07-03,1761,388
2016-10-26,794,170
1998-09-11,1828,4257
2020-06-23,463,2542
2002-08-29,1019,4370
1992-04-07,421,2626
1975-07-08,343,4738
1990-07-29,859,1378
1978-02-28,1823,5064
1971-06-17,488,3248
1974-05-13,431,4234
1986-11-19,500,4680
2000-01-03,1752,2497
1995-08-30,215,921
2000-09-06,1542,3004
1984-02-29,636,4429
2003-03-25,1263,4976
1977-09-12,519,4186
1994-09-15,1412,2296
2016-12-26,1284,1953
2010-04-15,1925,3232
1977-03-17,2054,3018
2024-10-11,2032,2191
1971-05-20,478,3227
2021-07-10,1963,4830
1975-09-11,852,3047
1989-07-03,1137,2929
2019-03-06,709,1791
1977-08-04,1204,4692
2005-09-24,384,5082
1996-09-22,137,1751
2011-08-17,94,1635
2021-08-10,1521,1865
1996-05-04,1325,3732
2006-07-06,118,1640
1981-10-13,266,137
1989-04-03,1113,4797
2002-02-21,1331,3276
1973-11-24,661,1723
1970-08-16,765,4997
1995-02-26,1128,1730
1974-11-08,313,4421
1996-05-11,1147,329
2008-04-13,750,805
1978-11-23,1502,4926
2016-12-26,1678,479
2000-08-14,1912,3730
1999-06-09,50,3734
1978-08-07,1907,3786
1994-09-15,8,3278
1992-09-16,290,4340
2003-01-28,353,2716
1975-07-13,232,2197
2000-09-06,214,452
1973-04-12,1207,4950
2021-12-13,1355,3480
1985-10-16,1254,747
2025-10-15,713,2841
1970-05-03,66,3024
2005-04-16,873,2399
2002-12-03,164,2548
1973-04-18,1510,553
2013-09-14,1330,243
1981-02-11,1900,1129
1996-06-19,1445,575
1995-12-04,387,1597
1992-03-15,290,4761
2021-10-06,324,3890
1985-10-25,261,32
2012-12-27,32,243
2008-02-29,693,967
1972-08-18,361,4424
1996-05-04,687,498
2021-06-03,561,4644
2003-08-09,927,2997
2002-04-16,706,1174
1991-03-06,2080,1354
1990-05-25,963,4863
2014-03-10,1124,4639
2019-01-20,273,2875
2010-04-15,144,5022
1977-08-04,1012,127
1978-12-14,267,4420
1987-07-26,109,4086
1983-12-23,1443,757
1992-05-19,1164,4374
2002-02-21,1140,1533
2005-11-21,63,3749
1976-12-25,980,3505
1994-09-26,815,499
1999-06-07,2036,2211
2026-03-20,243,1027
1971-05-20,2052,4563
1994-11-12,1125,3961
1986-08-14,1761,2545
1994-11-12,140,341
1983-10-25,1894,3828
1987-11-07,709,1757
1985-10-13,114,216
1993-03-26,1625,88
2003-11-16,45,4786
1977-10-13,265,1242
1999-04-07,1084,4135
2004-12-15,2015,261
1994-11-16,1595,1287
2012-01-10,1233,4970
1979-11-15,965,2175
2016-10-20,1377,907
2017-11-15,1530,3486
1983-12-08,1035,899
2009-02-02,10,2214
1978-12-14,1723,3358
1990-02-21,1912,1600
2008-02-29,1955,1319
1989-07-03,1180,2837
2023-05-02,565,1753
1988-11-19,1397,4854
1985-01-20,646,1113
1996-04-08,348,255
2017-07-04,2067,2431
2016-10-29,905,5037
1970-10-22,1487,3653
1992-03-15,1985,411
1976-05-05,1971,2301
1990-02-21,1288,1014
1978-03-20,1519,844
2003-08-09,524,2824
2008-08-28,1338,2907
2005-07-19,1894,4644
1984-02-29,1265,820
1976-10-24,1535,1770
2016-10-30,499,3775
2018-07-04,116,3414
1983-12-23,395,3575
1983-01-09,1365,3647
2018-10-25,1020,4646
2008-02-29,1663,2965
2018-10-06,1491,4338
1994-09-15,1070,4150
2006-07-06,706,523
1996-05-11,179,4284
2005-09-06,1065,1625
2019-12-22,975,3053
2008-11-12,1862,3863
2002-08-29,1153,4337
2011-09-06,1403,4678
1981-10-27,1044,1882
1975-06-05,1462,2180
2025-12-03,1206,1440
1975-01-11,968,2459
2016-03-27,956,4234
2014-02-13,1525,1953
1993-04-22,33,1090
2015-04-24,550,3517
1995-01-03,199,4162
1992-05-27,1932,2718
2024-11-12,147,812
1971-05-27,1441,1660
1988-01-01,1521,1126
2011-10-25,608,4556
1994-09-15,1748,1676
1973-11-22,1740,3351
