Plat
idPlat,nomPlat,idLegume
437,Tenders,NULL
154,Pasta Carbonara,NULL
156,Foie gras,360
36,Ananas,NULL
598,Quiche,658
95,Kebab,444
627,Tenders,NULL
27,Ananas,444
899,Saumon,NULL
254,Kebab,NULL
807,Quiche,NULL
821,Kebab,NULL
773,Ananas,NULL
695,Ananas,NULL
79,Pizza,81
353,Beurre,117
267,Tenders,NULL
213,Tenders,NULL
970,Fondue savoyarde,NULL
798,Tenders,NULL
385,Pizza,NULL
579,Choucroute,NULL
867,Pizza,NULL
445,Poulet,NULL
884,Saumon,NULL
897,Saumon,NULL
424,Tenders,NULL
83,Pasta Carbonara,444
163,Foie gras,NULL
200,Beurre,NULL
223,Quiche,NULL
673,Saumon,81
516,Ananas,NULL
610,Foie gras,81
561,Fondue savoyarde,NULL
600,Pizza,117
486,Fondue savoyarde,NULL
853,Pasta Carbonara,NULL
879,Raclette,NULL
736,Beurre,NULL
891,Saumon,225
330,Beurre,444
506,Poulet,225
715,Choucroute,NULL
864,Pasta Carbonara,681
233,Beurre,128
463,Pizza,NULL
844,Pasta Carbonara,NULL
846,Foie gras,NULL
338,Beurre,444
615,Fondue savoyarde,NULL
369,Choucroute,NULL
205,Foie gras,225
551,Foie gras,NULL
750,Pasta Carbonara,97
571,Raclette,360
395,Pizza,225
863,Quiche,737
601,Choucroute,NULL
355,Saumon,NULL
413,Pasta Carbonara,681
957,Fondue savoyarde,360
596,Beurre,NULL
935,Saumon,444
290,Tenders,NULL
285,Kebab,81
507,Quiche,658
618,Choucroute,NULL
519,Choucroute,NULL
401,Fondue savoyarde,NULL
504,Saumon,NULL
433,Raclette,NULL
414,Foie gras,444
212,Beurre,NULL
131,Choucroute,NULL
399,Raclette,225
31,Choucroute,737
986,Pizza,NULL
261,Choucroute,117
472,Quiche,NULL
302,Beurre,NULL
134,Choucroute,NULL
297,Fondue savoyarde,157
789,Quiche,NULL
393,Pasta Carbonara,NULL
341,Pasta Carbonara,NULL
858,Pasta Carbonara,NULL
764,Kebab,NULL
403,Pasta Carbonara,NULL
801,Saumon,NULL
108,Fondue savoyarde,NULL
592,Poulet,658
566,Ananas,NULL
575,Raclette,NULL
303,Foie gras,NULL
214,Poulet,117
382,Pizza,NULL
336,Saumon,658
492,Foie gras,97
130,Poulet,NULL
182,Pizza,NULL
122,Tenders,NULL
62,Fondue savoyarde,NULL
442,Choucroute,NULL
924,Foie gras,NULL
153,Fondue savoyarde,128
289,Poulet,NULL
30,Raclette,NULL
367,Quiche,NULL
940,Quiche,368
699,Kebab,NULL
116,Pizza,NULL
557,Choucroute,NULL
294,Kebab,NULL
931,Raclette,737
944,Saumon,368
201,Raclette,NULL
118,Ananas,NULL
535,Poulet,NULL
840,Foie gras,368
82,Kebab,NULL
677,Beurre,NULL
216,Raclette,NULL
653,Raclette,NULL
427,Saumon,128
852,Kebab,360
554,Pasta Carbonara,NULL
115,Raclette,97
680,Ananas,NULL
439,Fondue savoyarde,117
28,Pizza,97
334,Foie gras,NULL
889,Raclette,NULL
812,Ananas,NULL
792,Quiche,NULL
436,Quiche,NULL
820,Kebab,NULL
644,Beurre,NULL
474,Beurre,NULL
744,Raclette,NULL
806,Pizza,81
559,Raclette,NULL
54,Poulet,NULL
337,Choucroute,NULL
160,Tenders,NULL
520,Saumon,NULL
727,Poulet,97
273,Beurre,NULL
75,Foie gras,NULL
759,Quiche,NULL
366,Quiche,360
89,Choucroute,NULL
364,Pizza,NULL
928,Saumon,NULL
482,Ananas,NULL
811,Pizza,NULL
847,Foie gras,NULL
315,Tenders,NULL
210,Kebab,NULL
219,Raclette,NULL
431,Saumon,NULL
952,Raclette,97
237,Kebab,NULL
25,Tenders,368
70,Quiche,368
111,Fondue savoyarde,NULL
320,Ananas,NULL
159,Pizza,360
915,Foie gras,360
541,Poulet,NULL
691,Pizza,NULL
231,Beurre,NULL
455,Ananas,NULL
299,Choucroute,NULL
19,Poulet,NULL
907,Choucroute,NULL
137,Saumon,NULL
112,Kebab,360
411,Choucroute,NULL
917,Fondue savoyarde,NULL
306,Choucroute,NULL
987,Raclette,NULL
599,Tenders,NULL
359,Pasta Carbonara,NULL
300,Pizza,444
979,Saumon,NULL
885,Raclette,NULL
580,Quiche,681
123,Ananas,NULL
948,Raclette,NULL
643,Ananas,157
914,Fondue savoyarde,NULL
999,Kebab,NULL
471,Poulet,NULL
641,Pizza,NULL
903,Poulet,NULL
771,Pasta Carbonara,81
896,Foie gras,NULL
905,Kebab,81
756,Foie gras,NULL
361,Ananas,NULL
878,Quiche,737
746,Pizza,NULL
838,Ananas,NULL
834,Pasta Carbonara,225
188,Quiche,NULL
284,Kebab,NULL
183,Tenders,97
617,Pizza,NULL
774,Beurre,444
148,Pasta Carbonara,NULL
343,Foie gras,NULL
633,Pasta Carbonara,368
342,Choucroute,NULL
323,Tenders,NULL
620,Quiche,NULL
8,Kebab,NULL
241,Saumon,NULL
826,Beurre,NULL
18,Pizza,NULL
819,Kebab,NULL
751,Pizza,360
786,Choucroute,NULL
585,Choucroute,NULL
936,Fondue savoyarde,NULL
963,Beurre,NULL
823,Raclette,225
665,Poulet,NULL
125,Fondue savoyarde,360
594,Pasta Carbonara,681
985,Choucroute,NULL
642,Kebab,NULL
480,Kebab,NULL
550,Tenders,NULL
78,Saumon,117
230,Foie gras,NULL
636,Poulet,NULL
272,Pizza,157
41,Tenders,444
9,Foie gras,NULL
831,Tenders,NULL
446,Saumon,128
701,Quiche,NULL
923,Fondue savoyarde,NULL
168,Pasta Carbonara,NULL
11,Foie gras,NULL
412,Poulet,NULL
264,Ananas,681
49,Kebab,681
362,Ananas,NULL
