Realise
numero,refOrganisme,codeMembre,idMachine,idEntretient
16681,5,65796,10,100
47778,7,53884,1605,523
31369,9,53082,779,346
15674,8,83898,4,332
20745,1,67533,319,503
21126,10,81210,1980,996
3906,3,15838,212,173
34057,4,45285,1679,94
32610,4,83299,2157,822
8580,6,53142,1150,673
6325,7,64969,2100,391
7006,5,32092,1703,740
32344,3,13273,2429,635
22456,5,71177,1350,832
24340,5,47852,2421,180
12170,8,59392,971,234
16767,10,70508,763,290
25975,6,92756,1756,256
37127,5,81151,1892,959
49721,8,72962,250,158
45178,7,43400,1863,85
33741,8,67155,2154,74
26034,8,94117,330,895
28771,8,81339,1591,811
25649,2,63741,1429,504
9517,1,11563,388,817
28808,5,94689,682,30
33191,5,96528,2194,29
10525,9,92173,613,662
4287,9,66539,1455,633
22892,2,85576,857,394
29184,5,35581,2039,645
12477,1,65346,1817,9
32341,6,93368,689,493
23149,9,50744,1813,3
23042,1,85579,16,169
12040,2,92484,1450,180
1064,10,18764,807,181
41457,7,20141,1253,324
35194,2,88633,122,605
2303,1,62987,1319,911
12329,9,95419,1156,63
49066,4,15957,603,439
47797,4,63202,1752,975
22799,2,59560,860,854
34998,8,62715,633,645
29472,10,84956,1726,693
16377,8,72319,1413,505
40500,3,85283,489,116
41444,2,56598,887,301
30561,3,47248,1935,433
45204,8,40666,1470,506
9841,1,20692,264,62
22145,4,84131,1766,687
17703,5,44754,1526,599
35579,4,47865,1019,691
42570,4,61152,1168,533
13427,2,87753,602,736
3999,3,14910,1510,947
4250,5,91355,2078,625
22097,4,60272,54,690
31168,8,96860,993,725
29048,4,12407,961,12
31685,8,96381,1685,778
13816,8,70995,2387,126
28793,10,86859,2214,333
48477,7,53058,729,940
24930,1,25857,1745,529
47965,9,96732,1114,465
4222,2,86975,194,241
37859,9,96394,1794,901
13359,1,98918,2210,252
9894,9,75389,1870,402
10887,4,29497,1586,744
26980,9,30715,2019,996
6302,7,44895,2484,950
39050,9,34291,2406,883
48565,5,27500,2466,468
25636,5,50956,647,150
32170,2,55845,735,769
41559,8,79907,2183,987
16175,7,84435,715,550
12742,5,14819,1438,33
6335,9,32076,1020,980
995,3,28429,2206,702
28443,7,76571,2444,623
18728,2,18726,2149,215
17913,2,26982,735,20
35538,8,69848,2351,495
30598,6,35772,2,662
125,1,34452,1026,889
28905,7,50802,2015,846
45893,5,59518,764,743
37126,5,18452,108,323
24,3,72330,56,908
41498,10,26967,8,281
11460,6,83004,2332,378
20400,2,68711,1651,584
1733,6,73769,745,860
26398,2,84573,1637,373
17628,6,64795,415,201
46786,8,15624,1841,442
17998,5,42012,1560,787
10135,2,21105,1528,891
11112,9,98596,1877,230
20296,5,47550,2079,50
25419,7,57756,2398,904
13476,8,96317,1372,287
6771,2,60774,1124,538
39147,3,22886,1366,137
48647,9,86562,2017,286
31620,7,67236,297,963
24869,10,49365,2407,501
47350,1,89477,1388,448
38531,9,69297,546,389
32392,9,13966,1281,874
14468,3,37052,1722,767
13118,4,47906,1519,190
20683,9,72724,2117,625
28646,4,50256,227,37
30154,3,48645,662,374
44334,3,74122,1878,996
47275,6,39363,297,682
37967,2,91202,696,772
6857,4,97734,2441,842
13155,10,93144,1068,672
35832,4,70374,1034,36
5758,5,83483,1993,631
36790,1,95361,1181,833
28337,1,83652,2208,403
24714,2,82867,1421,172
30378,8,41434,1579,589
35090,5,88080,168,829
13262,3,44717,1986,676
35874,7,78323,2318,436
39708,2,42054,480,225
9294,9,22128,668,301
28728,8,80834,1598,937
43200,10,80453,707,565
36565,3,76810,1671,432
46671,1,23023,678,593
21827,6,95743,531,42
3299,3,34126,790,611
33244,1,11690,471,144
14632,10,27738,1278,617
8075,4,49669,1438,779
28066,4,38245,1551,858
12121,1,31353,2447,289
29085,7,50626,2352,71
35772,4,22218,1894,987
8381,9,74916,1275,327
42285,10,64949,2356,276
43729,1,80369,846,511
24525,9,90576,2016,183
5822,2,36042,1213,305
37870,1,31877,591,486
19915,6,15087,1818,531
27047,9,84530,1239,980
23295,10,92312,881,852
17006,1,22455,683,81
24453,5,81036,81,72
43440,7,21674,1508,272
34507,9,37972,1920,551
1588,6,54508,1162,228
49439,6,44337,157,244
41880,5,60920,785,891
34333,7,74181,1170,107
11793,5,62878,1045,611
9695,9,86339,2275,177
4179,1,71940,1367,899
44536,8,69527,1665,318
4700,3,49600,631,13
34676,5,66597,2098,961
29252,2,31179,1107,209
47715,3,90980,2132,561
27732,5,41010,756,375
44783,10,49608,2300,839
47211,9,50547,1197,561
38145,2,33179,309,504
17923,1,29526,1084,503
9861,3,36888,240,702
12476,4,82421,2135,358
10338,6,15215,2127,167
9560,4,52465,151,742
30337,6,16339,2163,221
5954,7,34448,164,355
7770,8,77245,818,914
37557,7,12379,360,452
25982,1,11120,1561,847
21396,8,22905,1689,417
28524,6,14576,246,67
20067,3,12781,1260,41
8049,5,18090,874,83
45572,5,87691,1500,147
6015,5,19333,1402,520
21472,5,56100,1313,256
39432,2,64340,1146,998
42798,8,43340,67,642
36252,6,91135,9,206
38128,1,85418,1728,71
21897,3,96317,545,609
42370,8,57539,1033,840
19584,5,80240,2492,16
16093,9,74523,1632,227
36922,4,22277,1551,953
19477,10,21882,1438,511
42280,7,12990,1704,100
646,8,75591,943,61
8196,2,13223,319,798
27055,1,78428,1594,293
21438,4,80187,191,75
5230,10,33360,1817,342
1048,1,83572,365,774
42616,1,77911,1078,205
5959,3,36915,973,532
30289,2,51248,1830,642
39213,1,13182,207,237
39595,4,68917,2170,210
1737,6,93024,729,243
4392,8,91236,2096,473
45684,8,44152,1244,814
24187,3,86443,1687,213
14566,7,74051,1191,730
3838,5,73089,1501,136
39665,10,14194,2155,232
42046,6,66521,2079,256
41802,3,40953,347,212
32029,1,35151,206,861
25860,5,92027,2316,233
13502,4,17941,1427,915
13530,9,68372,662,113
3947,6,50430,260,205
25344,6,66197,1033,350
16328,10,92313,1800,331
47222,3,55674,373,248
2859,1,76505,652,280
35341,3,27776,861,152
3054,6,20346,1443,321
4134,3,43474,801,29
37302,1,49769,1261,137
23586,10,81323,2221,904
36324,3,65304,1048,194
24099,5,29390,926,550
45619,2,14271,2447,496
33536,4,32962,819,959
39833,7,23202,1624,680
27305,2,86338,1117,414
21961,1,95555,2062,45
48342,4,39274,21,230
10408,5,32582,1962,756
28488,10,93582,936,447
31046,5,48596,2118,500
37328,1,45070,1272,198
34491,4,80111,1775,172
25503,7,70595,277,321
9007,10,21456,37,740
21285,3,49616,1563,459
35560,2,25476,10,899
4555,9,56994,361,982
35691,3,77405,931,616
14257,10,97892,846,488
42415,5,59292,2288,414
38141,8,18470,1682,288
1074,5,42641,300,667
19628,9,21289,1954,473
4680,6,23365,2346,309
29469,1,92852,2204,193
37365,7,16172,2243,501
13463,3,78200,702,197
17398,4,13530,2125,931
45527,3,50106,382,176
7294,3,15768,913,351
32535,9,92264,1534,16
35161,1,30579,891,86
45242,10,92514,1136,932
11099,8,24633,940,781
43376,3,25756,2291,675
42994,6,34401,1394,476
17504,3,99428,2166,352
26962,7,45998,2085,750
16149,10,64243,2227,931
27970,6,44021,1112,937
2817,6,55504,2275,28
8107,9,79788,1091,40
36517,5,53181,806,345
48827,5,27987,725,376
18200,9,70872,1169,435
30331,6,27749,612,181
31140,8,94345,1002,194
5751,7,40369,1052,678
9049,1,94988,1331,45
24048,2,94186,569,584
43438,5,89520,1885,484
16372,4,86418,1189,395
40674,10,22451,407,574
29267,3,22730,49,301
30843,6,23081,547,304
21009,10,66813,1638,811
35408,1,92802,1501,557
16410,6,15224,2367,659
4698,8,52834,1813,368
29997,6,87408,275,781
37739,2,31758,587,166
20944,4,34544,664,588
25527,5,67947,1837,253
19294,4,81219,2425,783
17316,10,75403,1968,945
35799,1,60134,539,449
17122,7,11466,1895,818
40056,6,77806,1516,246
25110,8,24963,1854,823
47930,9,73430,306,167
46903,3,83399,889,76
3997,4,14557,1120,870
32115,3,85633,1355,674
5626,5,75840,203,63
30193,10,35136,234,292
27644,9,86116,690,487
35599,9,99333,834,166
48611,1,54621,2367,78
40835,8,43969,967,684
15194,9,95473,510,52
8278,3,98522,26,675
4932,10,19271,771,150
23929,2,46688,512,409
49802,3,36498,2022,383
49059,5,32469,364,33
36652,6,15177,1479,45
41899,5,19578,1346,416
17292,5,61741,1323,723
48884,3,52539,2248,561
36478,3,56111,1217,280
5506,6,83499,2273,480
26012,7,28240,1652,857
43114,3,96144,1598,927
36467,3,18917,2210,340
43225,10,11268,552,178
46040,2,23802,638,117
22004,7,98065,214,356
6689,3,93700,741,853
36335,5,82522,1643,726
39113,8,28772,279,988
42160,1,81595,1631,334
12238,1,43129,2391,297
13518,7,66530,481,906
9149,4,49654,2471,58
1440,6,39047,2030,549
34100,7,90991,751,230
39025,9,77690,1094,91
1973,10,51379,2274,570
17350,7,53535,2269,831
12190,5,14099,128,93
24559,8,88652,778,135
6496,4,36163,1176,458
3843,8,64716,598,336
34608,9,81017,780,679
45527,6,62190,751,675
30458,1,79860,1821,750
28063,5,20990,160,190
29726,4,34561,122,437
14636,1,77729,1019,503
46017,2,88391,919,85
32474,4,89441,535,307
8222,9,96212,875,255
6367,10,22506,1332,219
33818,10,33020,46,318
14252,3,67128,721,263
4475,5,57815,2241,597
9035,5,88024,2290,581
37941,6,84384,1476,452
48253,5,36225,507,550
45495,2,58225,192,534
18881,2,37141,617,104
2617,6,26920,2199,690
22364,6,97908,65,505
20078,5,21025,2193,571
39977,2,42862,953,30
40113,7,53771,2421,785
37373,8,86840,1564,605
9625,1,30864,2059,350
27941,3,47446,826,374
32920,6,73577,285,81
12931,3,25023,45,380
22112,2,79139,2452,250
38185,6,18795,727,474
12165,9,12687,1037,691
9142,4,21899,2422,218
3707,10,48315,901,956
17864,4,44823,51,802
25851,1,94602,2402,192
42687,7,92774,2372,798
10564,6,58913,1267,229
30748,8,22182,467,321
32905,5,51559,1435,201
19447,5,83713,1779,371
26363,8,67270,91,256
35035,9,38427,1962,226
49715,1,72109,438,383
45271,3,87955,310,628
43267,9,70622,817,900
40259,6,72364,1368,802
8634,3,14846,200,334
24919,5,39262,74,917
4957,3,87173,832,367
48161,2,55898,178,557
40485,9,89410,1327,45
36769,7,77691,285,508
38180,2,27955,1144,666
29943,10,29691,2112,981
41061,8,87270,165,175
49168,4,28999,263,228
12084,4,84697,1932,598
47207,8,88930,1445,691
25693,2,72453,1228,552
9078,5,97925,2018,149
27415,7,96502,440,896
11205,8,66463,1279,249
45778,9,71825,1025,401
34118,5,65866,2066,944
20942,3,40776,2343,580
48076,3,82227,862,46
45295,3,38718,1088,918
39938,4,96070,1023,881
32673,3,37908,916,194
34254,3,12237,69,833
11534,4,22176,364,57
18956,6,91237,158,994
4300,8,75392,559,554
35393,9,36436,1515,137
39620,6,82361,2269,489
2543,9,88017,931,66
40906,5,16048,175,368
13193,3,23837,1561,572
49293,9,63053,2188,607
30509,9,29629,1759,395
49545,4,99107,2132,235
11111,8,39149,406,427
16753,1,36597,861,407
12951,7,72811,2117,955
22804,2,34432,1641,411
32369,8,24512,695,64
5304,1,28879,322,217
2148,3,55762,912,471
28927,3,71224,2462,692
4430,3,15399,2134,733
1649,8,12677,1611,434
34166,9,12218,922,26
39535,7,48846,1353,96
35857,7,38080,1599,994
27332,6,25610,1368,108
2341,10,74965,1875,229
16926,3,90350,1839,214
40091,2,28865,2272,342
36802,1,46866,1628,843
15224,4,20483,1026,640
25195,5,94193,41,47
49696,7,19344,2387,593
24020,1,56848,718,359
42122,5,39761,663,49
6518,5,24559,400,950
26401,7,58247,642,298
31125,4,22366,1931,6
5963,8,40929,1913,812
43246,7,23813,1683,952
35659,3,64173,1735,589
