Utilisation Officielle
idRepas,idMachine
4522,1515
468,669
2284,918
4552,1992
1663,379
1735,2352
2054,1253
1813,34
1448,1834
3212,2177
1894,2199
1,1059
3751,865
2291,2427
5087,1673
5011,970
1762,725
171,2497
3103,1629
3341,981
1851,2452
4269,924
2436,1218
228,749
1025,297
1686,613
4224,227
670,715
119,1384
4335,40
272,1614
570,254
2031,1957
747,1933
3632,1801
719,1918
1766,1029
1641,1623
4692,490
3169,1082
3523,2082
3121,971
2943,1202
542,240
4174,2335
3641,714
5054,378
3575,1669
3305,798
3763,846
4518,51
895,1156
3627,1611
3268,2194
958,1843
1123,1935
4285,1705
3951,833
2502,2460
2152,861
2004,1533
910,2396
2895,2491
2976,360
813,2264
393,45
2747,721
2183,1084
3680,129
3551,1475
4935,1187
2054,285
3394,2187
1219,1110
537,806
3107,905
4408,1704
140,2333
4668,1724
1694,420
363,1519
3409,841
4912,2243
4399,403
867,1536
2401,1399
836,1020
502,1572
4003,1211
1348,109
2486,354
4469,434
998,1455
3256,1527
391,412
4146,1757
192,701
615,2026
4935,1413
1316,1711
2888,744
307,1663
814,2096
1850,2438
4580,762
1755,1029
658,2150
2179,1015
2599,834
4709,1976
1757,290
3695,1926
4073,429
2083,317
3980,1066
4419,2342
1616,403
3200,1460
1564,2441
3489,2182
1889,1149
3205,1687
3611,1355
1161,618
1430,1081
4794,488
3140,1983
548,281
1563,924
2957,1884
163,2448
653,1207
4012,1370
875,283
1368,2018
3315,555
4159,1514
1844,2170
4179,210
1748,2350
2974,1926
4558,969
4914,95
2307,2350
3869,1786
1976,1993
3923,2067
1476,2219
356,1140
2614,1100
4038,1216
4341,1434
783,908
2287,1455
4241,864
3569,697
2105,2180
5053,953
3916,614
2031,1360
243,334
5032,265
4532,782
3917,1527
2862,2205
1579,2137
2646,2403
391,2150
509,288
3110,139
4268,1507
2335,65
2665,1923
1999,871
948,994
4680,1604
3581,641
2316,231
4154,911
1816,1054
729,233
2666,1905
179,1128
904,748
755,1230
4852,1457
4236,2411
916,1376
656,1984
2176,627
4889,1349
3451,1574
3315,1050
2387,1976
3165,766
4192,1977
1581,1102
4665,695
2006,493
2808,1608
3419,2289
4486,1599
757,100
1765,588
1170,1117
3292,294
3944,1468
2412,694
2408,1696
2642,2298
3063,988
4290,1933
4312,2411
4237,883
2232,2415
698,784
2763,1326
453,2407
386,1329
137,127
4703,1995
4651,2129
3409,1594
179,960
2331,206
3251,800
5098,519
4971,1907
174,44
4811,761
4116,2455
613,1236
4394,634
1582,1543
2265,1291
1534,2360
3813,683
749,454
3034,1765
2159,1875
2866,659
4063,2138
4308,1346
1815,1140
2829,1144
2763,422
1110,657
1876,977
523,1884
2555,91
1717,1528
775,2292
592,2434
2247,792
267,798
3247,1476
4409,394
4293,850
3770,1714
3797,739
4944,1106
369,53
2514,2257
94,1334
4942,43
3879,1705
1220,2188
115,2070
1496,315
4608,1252
3039,912
1114,254
3455,1069
3082,1542
4029,2089
32,1658
963,159
1373,2155
2709,1370
4225,510
747,222
217,1678
4595,306
2564,1689
1211,195
4191,1358
3696,2177
1784,2438
2998,1407
3377,866
1360,597
1473,1579
3957,1404
4916,1814
2849,554
404,2124
4872,716
664,2479
3833,1933
2815,1048
5028,2431
1758,817
3952,2474
1356,2434
2440,1855
4200,1653
1837,391
1892,2424
2423,2443
3355,1183
3867,1696
2538,30
756,1044
723,737
28,1009
1356,2090
3665,2239
4968,1463
3800,1070
78,1785
2932,1056
3285,804
604,1006
1378,1444
3861,1192
2803,128
3626,2272
3235,2013
1462,433
167,1418
3301,1698
1925,2243
676,655
1728,691
1307,1132
3720,2320
1354,1162
4005,1828
2346,605
868,48
4314,1923
1949,2196
1513,1399
5095,1403
1875,1192
2517,1015
2020,2379
2589,333
1114,37
2012,2126
5093,2063
1542,346
734,1927
531,408
319,696
3463,1401
4629,1601
1607,1499
1177,2076
1280,2066
261,1268
3769,1353
7,2324
1123,1970
2568,357
781,2307
4238,1751
3930,1110
4850,1866
3142,1980
4693,840
4168,782
2603,872
2874,659
3266,1429
4928,1669
4630,1798
1999,1398
4769,990
3218,261
3977,2445
944,767
4460,80
2326,54
433,1719
1904,757
4609,1445
1939,1046
2666,628
506,232
2461,157
2313,1700
