forme
idSauce,idIngredient
704,287
934,190
387,814
639,933
655,514
387,64
639,783
848,376
198,941
848,390
848,314
655,654
6,630
387,726
848,420
387,178
198,371
639,161
934,252
704,67
6,252
848,709
848,221
198,178
6,346
707,933
6,305
198,776
704,390
301,84
387,161
387,314
387,971
704,203
707,900
357,722
704,240
198,305
655,860
6,287
639,873
357,60
934,980
387,190
848,860
198,240
848,619
387,607
707,312
301,296
707,933
198,312
6,941
704,628
387,630
301,185
301,166
387,978
387,971
655,23
387,845
198,965
639,312
934,67
934,679
357,84
387,661
848,84
198,305
639,635
357,457
934,221
357,456
704,295
198,628
198,980
848,33
704,209
198,752
848,558
639,726
934,602
387,815
848,664
655,390
198,371
707,185
704,161
198,312
707,283
934,938
198,305
301,418
198,850
704,308
848,536
6,252
704,348
704,376
301,667
639,603
707,327
934,860
357,185
848,628
639,242
707,667
198,221
357,709
198,178
301,941
707,53
387,890
387,661
198,505
707,236
704,781
704,348
301,938
301,185
639,178
707,280
848,740
848,381
655,457
707,664
301,84
655,558
301,161
655,371
707,505
704,371
387,825
387,132
655,933
704,166
6,418
301,184
934,180
198,937
387,314
387,849
655,752
639,457
639,602
848,635
301,825
301,967
848,555
387,190
6,743
704,700
848,221
198,109
934,814
6,937
639,64
301,555
6,860
6,466
655,713
639,740
639,142
301,558
198,813
655,859
639,514
357,850
387,868
639,296
198,466
707,283
387,971
6,269
655,577
848,221
848,236
301,813
6,184
357,418
387,524
848,203
707,783
704,144
934,558
357,709
357,209
934,813
848,628
301,498
848,305
704,873
707,253
704,84
707,180
848,890
707,781
387,980
639,447
6,252
848,457
6,132
357,376
387,280
357,941
301,603
639,2
655,236
704,845
357,980
301,752
357,314
639,23
934,868
704,783
357,980
655,240
704,890
934,221
639,577
357,849
387,825
639,60
707,221
655,178
704,510
301,236
707,253
6,558
6,740
639,593
707,577
848,280
848,84
704,938
848,296
387,296
639,783
934,242
387,269
6,505
387,420
707,742
655,628
655,447
707,418
704,296
655,654
655,536
848,305
